SSPs   Mgb  e_Mgb   Fe5270  e_Fe5270   Fe5335  e_Fe5335
m52ssp135.spec     1.22   0.12     1.77   0.17     1.63   0.12
m52ssp140.spec     2.27   0.19     2.41   0.19     2.24   0.13
m52ssp145.spec     2.24   0.20     2.43   0.21     2.22   0.13
m52ssp150.spec     2.41   0.21     2.57   0.23     2.40   0.13
m52ssp155.spec     2.27   0.24     2.58   0.20     2.43   0.12
m52ssp160.spec     2.28   0.24     2.48   0.21     2.37   0.14
m52ssp165.spec     2.49   0.24     2.64   0.24     2.48   0.14
m52ssp170.spec     2.58   0.23     2.67   0.24     2.50   0.13
m52ssp175.spec     2.67   0.26     2.68   0.25     2.54   0.13
m52ssp180.spec     2.74   0.22     2.71   0.24     2.57   0.13
m52ssp185.spec     2.87   0.23     2.79   0.25     2.63   0.13
m52ssp190.spec     2.98   0.22     2.91   0.22     2.66   0.12
m52ssp195.spec     3.12   0.24     2.89   0.23     2.72   0.13
m52ssp200.spec     3.18   0.26     3.00   0.27     2.76   0.12
m52ssp205.spec     3.21   0.23     2.92   0.25     2.78   0.13
m52ssp210.spec     3.21   0.26     2.94   0.26     2.81   0.13
m52ssp215.spec     3.25   0.24     2.95   0.25     2.82   0.14
m52ssp220.spec     3.25   0.22     2.98   0.26     2.82   0.13
m62ssp005.spec     0.00   0.00     0.02   0.01     0.00   0.00
m62ssp010.spec     0.00   0.00     0.02   0.01     0.00   0.00
m62ssp015.spec     0.00   0.00     0.02   0.01     0.00   0.00
m62ssp020.spec     0.00   0.00     0.04   0.01     0.00   0.00
m62ssp025.spec     0.00   0.00     0.04   0.01     0.00   0.00
m62ssp030.spec     0.00   0.00     0.04   0.01     0.00   0.00
m62ssp035.spec     0.00   0.00     0.04   0.01     0.00   0.00
m62ssp040.spec     0.00   0.00     0.03   0.01     0.00   0.00
m62ssp045.spec     0.00   0.00     0.05   0.01     0.00   0.00
m62ssp050.spec     0.27   0.03     0.11   0.05     0.06   0.04
m62ssp055.spec     0.34   0.04     0.28   0.07     0.20   0.05
m62ssp060.spec     0.50   0.07     0.67   0.08     0.64   0.06
m62ssp065.spec     0.71   0.12     0.93   0.09     1.05   0.07
m62ssp070.spec     0.85   0.15     1.20   0.13     1.35   0.08
m62ssp075.spec     0.84   0.12     1.04   0.13     1.14   0.11
m62ssp080.spec     0.82   0.12     1.25   0.13     1.35   0.09
m62ssp085.spec     0.74   0.13     1.11   0.12     1.28   0.09
m62ssp090.spec     0.78   0.11     1.13   0.11     1.31   0.09
m62ssp095.spec     0.67   0.10     0.98   0.11     1.15   0.08
m62ssp100.spec     0.66   0.09     1.02   0.09     1.16   0.09
m62ssp105.spec     0.70   0.08     1.03   0.10     1.18   0.10
m62ssp110.spec     0.62   0.08     0.98   0.11     1.11   0.08
m62ssp115.spec     0.66   0.08     0.99   0.11     1.13   0.08
m62ssp120.spec     0.74   0.08     1.01   0.11     1.12   0.08
m62ssp125.spec     1.00   0.10     1.24   0.13     1.35   0.09
m62ssp130.spec     1.09   0.12     1.57   0.17     1.56   0.11
m62ssp135.spec     1.29   0.15     2.13   0.19     2.07   0.13
m62ssp140.spec     1.94   0.23     2.55   0.23     2.45   0.14
m62ssp145.spec     2.19   0.23     2.75   0.20     2.67   0.15
m62ssp150.spec     2.49   0.23     2.84   0.26     2.79   0.14
m62ssp155.spec     2.80   0.27     3.11   0.22     3.05   0.16
m62ssp160.spec     2.98   0.24     3.10   0.27     3.08   0.16
m62ssp165.spec     3.17   0.25     3.20   0.26     3.18   0.13
m62ssp170.spec     3.29   0.29     3.28   0.27     3.27   0.16
m62ssp175.spec     3.38   0.26     3.39   0.30     3.38   0.15
m62ssp180.spec     3.55   0.28     3.43   0.29     3.43   0.16
m62ssp185.spec     3.65   0.32     3.50   0.32     3.49   0.16
m62ssp190.spec     3.77   0.35     3.59   0.28     3.56   0.13
m62ssp195.spec     3.85   0.32     3.63   0.28     3.61   0.14
m62ssp200.spec     3.93   0.32     3.72   0.31     3.68   0.16
m62ssp205.spec     4.00   0.38     3.68   0.31     3.71   0.17
m62ssp210.spec     3.99   0.32     3.73   0.30     3.76   0.17
m62ssp215.spec     4.08   0.37     3.76   0.29     3.85   0.16
m62ssp220.spec     4.06   0.33     3.78   0.32     3.84   0.16
m72ssp005.spec     0.00   0.00     0.05   0.02     0.00   0.00
m72ssp010.spec     0.00   0.00     0.05   0.01     0.00   0.00
m72ssp015.spec     0.00   0.00     0.05   0.01     0.00   0.00
m72ssp020.spec     0.00   0.00     0.06   0.01     0.00   0.00
m72ssp025.spec     0.00   0.00     0.06   0.01     0.00   0.00
m72ssp030.spec     0.00   0.00     0.07   0.02     0.00   0.00
m72ssp035.spec     0.00   0.00     0.10   0.01     0.00   0.00
m72ssp040.spec     0.02   0.06     0.10   0.02     0.00   0.00
m72ssp045.spec     0.00   0.00     0.20   0.02     0.03   0.02
m72ssp050.spec     0.06   0.02     0.24   0.03     0.08   0.03
m72ssp055.spec     0.40   0.05     0.51   0.05     0.38   0.06
m72ssp060.spec     1.04   0.11     1.09   0.09     1.04   0.10
m72ssp065.spec     0.78   0.10     0.83   0.08     0.80   0.09
m72ssp070.spec     0.34   0.05     0.25   0.04     0.16   0.08
m72ssp075.spec     0.33   0.05     0.24   0.05     0.17   0.07
m72ssp080.spec     0.32   0.05     0.26   0.04     0.22   0.07
m72ssp085.spec     0.40   0.05     0.36   0.04     0.33   0.06
m72ssp090.spec     0.44   0.06     0.41   0.05     0.49   0.05
m72ssp095.spec     0.45   0.06     0.46   0.07     0.69   0.06
m72ssp100.spec     0.49   0.07     0.53   0.08     0.86   0.07
m72ssp105.spec     0.46   0.06     0.56   0.09     0.93   0.08
m72ssp110.spec     0.49   0.08     0.62   0.08     0.95   0.10
m72ssp115.spec     0.58   0.07     0.76   0.09     0.95   0.09
m72ssp120.spec     0.78   0.08     1.00   0.10     1.09   0.09
m72ssp125.spec     1.10   0.11     1.49   0.14     1.52   0.10
m72ssp130.spec     1.49   0.18     2.12   0.19     2.01   0.16
m72ssp135.spec     2.18   0.26     2.68   0.22     2.50   0.14
m72ssp140.spec     2.94   0.27     3.04   0.24     2.91   0.15
m72ssp145.spec     3.16   0.27     3.09   0.27     3.01   0.15
m72ssp150.spec     3.39   0.28     3.36   0.23     3.13   0.16
m72ssp155.spec     3.90   0.32     3.59   0.28     3.49   0.17
m72ssp160.spec     4.10   0.34     3.69   0.24     3.57   0.16
m72ssp165.spec     4.26   0.35     3.80   0.32     3.74   0.18
m72ssp170.spec     4.34   0.39     3.83   0.31     3.76   0.17
m72ssp175.spec     4.42   0.34     3.83   0.27     3.80   0.16
m72ssp180.spec     4.45   0.39     3.92   0.34     3.85   0.16
m72ssp185.spec     4.52   0.40     4.03   0.35     3.92   0.16
m72ssp190.spec     4.66   0.38     3.95   0.34     3.99   0.15
m72ssp195.spec     4.79   0.38     4.02   0.32     4.05   0.16
m72ssp200.spec     4.80   0.42     4.13   0.34     4.11   0.14
m72ssp205.spec     4.84   0.44     4.16   0.31     4.10   0.19
m72ssp210.spec     4.89   0.39     4.11   0.34     4.13   0.16
m72ssp215.spec     4.81   0.41     4.17   0.31     4.10   0.16
m72ssp220.spec     4.93   0.45     4.24   0.34     4.12   0.16
